parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='GMM', cluster_penalty=[1.0], dataset=['nltcs'], g_factor=[5.0, 10.0, 15.0, 20.0], min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/gtest-gmm/', seed=1337, sklearn_args=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	n_edges:	n_levels:	n_weights:	n_leaves:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	1155	15	275	755	-6.00262	-6.01367	-6.06374
5.00000	1.00000	10	0.20000	1155	15	275	755	-6.00207	-6.01087	-6.06184
5.00000	1.00000	10	0.50000	1155	15	275	755	-6.00102	-6.00568	-6.05794
5.00000	1.00000	10	1.00000	1155	15	275	755	-6.00036	-6.00079	-6.05392
5.00000	1.00000	10	2.00000	1155	15	275	755	-6.00104	-5.99617	-6.04967
5.00000	1.00000	50	0.10000	1084	15	253	716	-6.00995	-6.01944	-6.07261
5.00000	1.00000	50	0.20000	1084	15	253	716	-6.00917	-6.01665	-6.07083
5.00000	1.00000	50	0.50000	1084	15	253	716	-6.00759	-6.01136	-6.06666
5.00000	1.00000	50	1.00000	1084	15	253	716	-6.00620	-6.00612	-6.06184
5.00000	1.00000	50	2.00000	1084	15	253	716	-6.00563	-6.00063	-6.05607
5.00000	1.00000	100	0.10000	947	15	203	653	-6.02689	-6.02642	-6.07700
5.00000	1.00000	100	0.20000	947	15	203	653	-6.02587	-6.02455	-6.07550
5.00000	1.00000	100	0.50000	947	15	203	653	-6.02371	-6.02047	-6.07192
5.00000	1.00000	100	1.00000	947	15	203	653	-6.02152	-6.01593	-6.06753
5.00000	1.00000	100	2.00000	947	15	203	653	-6.01959	-6.01061	-6.06183
5.00000	1.00000	500	0.10000	460	13	78	349	-6.13935	-6.10524	-6.14606
5.00000	1.00000	500	0.20000	460	13	78	349	-6.13758	-6.10333	-6.14452
5.00000	1.00000	500	0.50000	460	13	78	349	-6.13387	-6.09924	-6.14118
5.00000	1.00000	500	1.00000	460	13	78	349	-6.12959	-6.09436	-6.13712
5.00000	1.00000	500	2.00000	460	13	78	349	-6.12377	-6.08754	-6.13132
10.00000	1.00000	10	0.10000	811	13	198	524	-6.03887	-6.02584	-6.08994
10.00000	1.00000	10	0.20000	811	13	198	524	-6.03812	-6.02419	-6.08818
10.00000	1.00000	10	0.50000	811	13	198	524	-6.03643	-6.02056	-6.08432
10.00000	1.00000	10	1.00000	811	13	198	524	-6.03457	-6.01650	-6.07984
10.00000	1.00000	10	2.00000	811	13	198	524	-6.03264	-6.01161	-6.07405
10.00000	1.00000	50	0.10000	826	15	200	536	-6.04266	-6.02301	-6.08915
10.00000	1.00000	50	0.20000	826	15	200	536	-6.04191	-6.02109	-6.08746
10.00000	1.00000	50	0.50000	826	15	200	536	-6.04024	-6.01724	-6.08385
10.00000	1.00000	50	1.00000	826	15	200	536	-6.03842	-6.01318	-6.07972
10.00000	1.00000	50	2.00000	826	15	200	536	-6.03657	-6.00856	-6.07439
10.00000	1.00000	100	0.10000	757	15	174	505	-6.04469	-6.02458	-6.09247
10.00000	1.00000	100	0.20000	757	15	174	505	-6.04384	-6.02303	-6.09062
10.00000	1.00000	100	0.50000	757	15	174	505	-6.04195	-6.01983	-6.08673
10.00000	1.00000	100	1.00000	757	15	174	505	-6.03988	-6.01626	-6.08231
10.00000	1.00000	100	2.00000	757	15	174	505	-6.03766	-6.01183	-6.07666
10.00000	1.00000	500	0.10000	439	11	81	324	-6.13652	-6.09671	-6.15505
10.00000	1.00000	500	0.20000	439	11	81	324	-6.13476	-6.09491	-6.15329
10.00000	1.00000	500	0.50000	439	11	81	324	-6.13105	-6.09106	-6.14940
10.00000	1.00000	500	1.00000	439	11	81	324	-6.12676	-6.08645	-6.14463
10.00000	1.00000	500	2.00000	439	11	81	324	-6.12088	-6.07999	-6.13778
15.00000	1.00000	10	0.10000	625	13	151	405	-6.07405	-6.03934	-6.10488
15.00000	1.00000	10	0.20000	625	13	151	405	-6.07287	-6.03841	-6.10352
15.00000	1.00000	10	0.50000	625	13	151	405	-6.07035	-6.03605	-6.10042
15.00000	1.00000	10	1.00000	625	13	151	405	-6.06748	-6.03300	-6.09659
15.00000	1.00000	10	2.00000	625	13	151	405	-6.06391	-6.02876	-6.09120
15.00000	1.00000	50	0.10000	625	13	151	405	-6.07428	-6.03947	-6.10311
15.00000	1.00000	50	0.20000	625	13	151	405	-6.07312	-6.03855	-6.10179
15.00000	1.00000	50	0.50000	625	13	151	405	-6.07065	-6.03623	-6.09879
15.00000	1.00000	50	1.00000	625	13	151	405	-6.06786	-6.03325	-6.09510
15.00000	1.00000	50	2.00000	625	13	151	405	-6.06444	-6.02913	-6.08995
15.00000	1.00000	100	0.10000	606	13	146	393	-6.07028	-6.03413	-6.11141
15.00000	1.00000	100	0.20000	606	13	146	393	-6.06917	-6.03334	-6.11011
15.00000	1.00000	100	0.50000	606	13	146	393	-6.06683	-6.03135	-6.10715
15.00000	1.00000	100	1.00000	606	13	146	393	-6.06419	-6.02878	-6.10344
15.00000	1.00000	100	2.00000	606	13	146	393	-6.06089	-6.02522	-6.09807
15.00000	1.00000	500	0.10000	404	11	78	292	-6.13521	-6.09848	-6.16606
15.00000	1.00000	500	0.20000	404	11	78	292	-6.13395	-6.09696	-6.16454
15.00000	1.00000	500	0.50000	404	11	78	292	-6.13107	-6.09364	-6.16107
15.00000	1.00000	500	1.00000	404	11	78	292	-6.12747	-6.08963	-6.15667
15.00000	1.00000	500	2.00000	404	11	78	292	-6.12228	-6.08396	-6.15013
20.00000	1.00000	10	0.10000	526	13	127	342	-6.08849	-6.05278	-6.11367
20.00000	1.00000	10	0.20000	526	13	127	342	-6.08752	-6.05196	-6.11258
20.00000	1.00000	10	0.50000	526	13	127	342	-6.08541	-6.04995	-6.11013
20.00000	1.00000	10	1.00000	526	13	127	342	-6.08295	-6.04739	-6.10705
20.00000	1.00000	10	2.00000	526	13	127	342	-6.07970	-6.04378	-6.10258
20.00000	1.00000	50	0.10000	541	13	134	346	-6.07717	-6.04807	-6.11097
20.00000	1.00000	50	0.20000	541	13	134	346	-6.07624	-6.04729	-6.11011
20.00000	1.00000	50	0.50000	541	13	134	346	-6.07419	-6.04532	-6.10794
20.00000	1.00000	50	1.00000	541	13	134	346	-6.07177	-6.04276	-6.10503
20.00000	1.00000	50	2.00000	541	13	134	346	-6.06857	-6.03907	-6.10065
20.00000	1.00000	100	0.10000	531	13	130	342	-6.07820	-6.05000	-6.10826
20.00000	1.00000	100	0.20000	531	13	130	342	-6.07723	-6.04920	-6.10728
20.00000	1.00000	100	0.50000	531	13	130	342	-6.07514	-6.04726	-6.10510
20.00000	1.00000	100	1.00000	531	13	130	342	-6.07271	-6.04475	-6.10235
20.00000	1.00000	100	2.00000	531	13	130	342	-6.06952	-6.04117	-6.09833
20.00000	1.00000	500	0.10000	397	11	84	276	-6.13156	-6.09652	-6.15944
20.00000	1.00000	500	0.20000	397	11	84	276	-6.13029	-6.09519	-6.15805
20.00000	1.00000	500	0.50000	397	11	84	276	-6.12736	-6.09214	-6.15481
20.00000	1.00000	500	1.00000	397	11	84	276	-6.12369	-6.08828	-6.15065
20.00000	1.00000	500	2.00000	397	11	84	276	-6.11838	-6.08257	-6.14440
{'alpha': 2.0, 'min-inst-slice': 10, 'g-factor': 5.0, 'cluster-penalty': 1.0, 'train_ll': -6.001041416421257, 'valid_ll': -5.996168732800948, 'test_ll': -6.049670144208277}
