parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='KMEANS', cluster_penalty=[1.0], dataset=['nltcs'], g_factor=[5.0, 10.0, 15.0, 20.0], min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/gtest-kmeans/', seed=1337, sklearn_args=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	n_edges:	n_levels:	n_weights:	n_leaves:	train_ll	valid_ll:	test_ll
5.00000	1.00000	10	0.10000	1119	15	250	749	-6.00559	-5.99817	-6.06228
5.00000	1.00000	10	0.20000	1119	15	250	749	-6.00545	-5.99752	-6.06131
5.00000	1.00000	10	0.50000	1119	15	250	749	-6.00529	-5.99618	-6.05899
5.00000	1.00000	10	1.00000	1119	15	250	749	-6.00562	-5.99504	-6.05640
5.00000	1.00000	10	2.00000	1119	15	250	749	-6.00774	-5.99496	-6.05404
5.00000	1.00000	50	0.10000	1117	15	240	762	-6.00549	-5.99724	-6.05347
5.00000	1.00000	50	0.20000	1117	15	240	762	-6.00535	-5.99672	-6.05277
5.00000	1.00000	50	0.50000	1117	15	240	762	-6.00523	-5.99578	-6.05131
5.00000	1.00000	50	1.00000	1117	15	240	762	-6.00567	-5.99519	-6.04994
5.00000	1.00000	50	2.00000	1117	15	240	762	-6.00800	-5.99585	-6.04935
5.00000	1.00000	100	0.10000	1081	15	241	725	-6.00624	-6.00906	-6.06308
5.00000	1.00000	100	0.20000	1081	15	241	725	-6.00617	-6.00802	-6.06189
5.00000	1.00000	100	0.50000	1081	15	241	725	-6.00614	-6.00618	-6.05957
5.00000	1.00000	100	1.00000	1081	15	241	725	-6.00658	-6.00462	-6.05723
5.00000	1.00000	100	2.00000	1081	15	241	725	-6.00882	-6.00399	-6.05524
5.00000	1.00000	500	0.10000	661	15	101	515	-6.05207	-6.04132	-6.08588
5.00000	1.00000	500	0.20000	661	15	101	515	-6.05201	-6.04108	-6.08548
5.00000	1.00000	500	0.50000	661	15	101	515	-6.05192	-6.04053	-6.08450
5.00000	1.00000	500	1.00000	661	15	101	515	-6.05206	-6.04000	-6.08335
5.00000	1.00000	500	2.00000	661	15	101	515	-6.05316	-6.03995	-6.08229
10.00000	1.00000	10	0.10000	586	11	132	392	-6.03884	-6.01791	-6.06936
10.00000	1.00000	10	0.20000	586	11	132	392	-6.03874	-6.01766	-6.06907
10.00000	1.00000	10	0.50000	586	11	132	392	-6.03857	-6.01709	-6.06837
10.00000	1.00000	10	1.00000	586	11	132	392	-6.03854	-6.01652	-6.06754
10.00000	1.00000	10	2.00000	586	11	132	392	-6.03904	-6.01617	-6.06661
10.00000	1.00000	50	0.10000	657	11	148	439	-6.03814	-6.02229	-6.06805
10.00000	1.00000	50	0.20000	657	11	148	439	-6.03800	-6.02209	-6.06768
10.00000	1.00000	50	0.50000	657	11	148	439	-6.03776	-6.02159	-6.06686
10.00000	1.00000	50	1.00000	657	11	148	439	-6.03764	-6.02101	-6.06594
10.00000	1.00000	50	2.00000	657	11	148	439	-6.03807	-6.02056	-6.06500
10.00000	1.00000	100	0.10000	642	11	144	430	-6.03959	-6.01630	-6.06528
10.00000	1.00000	100	0.20000	642	11	144	430	-6.03950	-6.01615	-6.06504
10.00000	1.00000	100	0.50000	642	11	144	430	-6.03932	-6.01580	-6.06442
10.00000	1.00000	100	1.00000	642	11	144	430	-6.03926	-6.01546	-6.06365
10.00000	1.00000	100	2.00000	642	11	144	430	-6.03972	-6.01544	-6.06284
10.00000	1.00000	500	0.10000	536	13	102	387	-6.04839	-6.02876	-6.08182
10.00000	1.00000	500	0.20000	536	13	102	387	-6.04833	-6.02867	-6.08157
10.00000	1.00000	500	0.50000	536	13	102	387	-6.04820	-6.02845	-6.08090
10.00000	1.00000	500	1.00000	536	13	102	387	-6.04814	-6.02823	-6.08002
10.00000	1.00000	500	2.00000	536	13	102	387	-6.04848	-6.02824	-6.07893
15.00000	1.00000	10	0.10000	495	13	109	335	-6.06287	-6.04160	-6.08765
15.00000	1.00000	10	0.20000	495	13	109	335	-6.06276	-6.04131	-6.08747
15.00000	1.00000	10	0.50000	495	13	109	335	-6.06253	-6.04068	-6.08698
15.00000	1.00000	10	1.00000	495	13	109	335	-6.06235	-6.04006	-6.08638
15.00000	1.00000	10	2.00000	495	13	109	335	-6.06248	-6.03969	-6.08575
15.00000	1.00000	50	0.10000	477	11	105	323	-6.06002	-6.04278	-6.08776
15.00000	1.00000	50	0.20000	477	11	105	323	-6.05991	-6.04257	-6.08753
15.00000	1.00000	50	0.50000	477	11	105	323	-6.05964	-6.04200	-6.08694
15.00000	1.00000	50	1.00000	477	11	105	323	-6.05937	-6.04130	-6.08617
15.00000	1.00000	50	2.00000	477	11	105	323	-6.05932	-6.04053	-6.08524
15.00000	1.00000	100	0.10000	486	13	101	339	-6.05751	-6.04344	-6.08680
15.00000	1.00000	100	0.20000	486	13	101	339	-6.05745	-6.04334	-6.08661
15.00000	1.00000	100	0.50000	486	13	101	339	-6.05731	-6.04306	-6.08611
15.00000	1.00000	100	1.00000	486	13	101	339	-6.05718	-6.04273	-6.08549
15.00000	1.00000	100	2.00000	486	13	101	339	-6.05728	-6.04243	-6.08477
15.00000	1.00000	500	0.10000	435	11	89	305	-6.07382	-6.05560	-6.10073
15.00000	1.00000	500	0.20000	435	11	89	305	-6.07378	-6.05552	-6.10058
15.00000	1.00000	500	0.50000	435	11	89	305	-6.07369	-6.05532	-6.10018
15.00000	1.00000	500	1.00000	435	11	89	305	-6.07362	-6.05508	-6.09967
15.00000	1.00000	500	2.00000	435	11	89	305	-6.07379	-6.05493	-6.09906
20.00000	1.00000	10	0.10000	392	13	87	264	-6.07491	-6.05837	-6.10323
20.00000	1.00000	10	0.20000	392	13	87	264	-6.07484	-6.05831	-6.10309
